重力	https://codepen.io/akm2/full/rHIsa{Gravity Points - 重力点{娱乐
反向	http://www.ilidilid.com/{ilidilid是一家弹幕站点，大家可以在这里找到许多的欢乐{娱乐
成为批发商	https://www.1688.com/{全球领先的采购批发平台{工具
龋齿一号	http://www.gfxcamp.com/{最新CG资源素材分享{实用&工具
摄影老法师必读	https://www.dxomark.com/{质量测试、评分和评论{工具
表情包gif	https://sorry.xuty.tk/sorry/{愿你出走半生，归来仍是少年{工具&图片
学说话	https://zh.forvo.com/user/hikari1/pronounced-words/page-2/{世界各地的母语者教你正确发音，LKs教你此网站的正确用法{娱乐&学习
做网站	https://www.wix.com/{创建一个您引以为豪的网站{工具
在线效果	https://photomosh.com/{使用创造性的效果对图像、视频或网络摄像头进行故障处理{工具&图片
学英语	https://nexus.leagueoflegends.com/en-us/{英雄联盟美服官网，在这里浏览你感兴趣的英文文章{学习
音游	http://ddrkirby.com/games/melody-muncher/melody-muncher.html{音乐节奏游戏，作者是一位大佬，有很多优秀的独立游戏作品{游戏&音乐		强推
f**king eat（外）	https://wtfsigfd.com/#location{找到你附近可以干饭的地方{生活
真实大小（外）	https://thetruesize.com{世界地图的真实尺寸{工具
游戏	https://pos.biborg.com/fr/{网页版神庙逃亡{游戏
拍卖	https://sf.taobao.com/?spm=a213w.7398504.sfhead2014.2.9vuB5l&current=index{阿里司法拍卖{工具 http://auction.jd.com/haiguan.html{京东海关政府拍卖{工具
